date;gender;age;has_worked;hours_studied;wakeup_time;bed_time;n_coffein;screen_time;has_meat;exercise_hours;water;social_hours;newspaper_time;fatigue_score;democracy_score;happiness_score
2021.03.02;male;21;no;6;7:50;23:30;1;12;1;0.65;2.5;2;2;2;6;6
2021.03.03;male;21;yes;0;8:20;23:50;2;11;1;0;2;2;3;4;6;7
2021.03.04;male;21;yes;2;7:40;0:10;2;10;1;0;2;1;2;4;8;6
2021.03.05;male;21;no;2;7:40;23:50;1;11;1;0.6;2.5;2;3;5;7;6
2021.03.06;male;21;no;0;8:30;23:40;0;12;1;0.833333333;3;3;1;5;7;6
2021.03.07;male;21;no;0;8:40;0:00;1;7;1;0;2;4;1;5;7;6
2021.03.08;male;21;no;6;8:00;23:50;1;13;1;0;1.5;2;1;1;7;4
2021.03.09;male;21;no;6;7:45;0:15;1;12;1;0.5;2;3;1;3;7;5
2021.03.10;male;21;yes;0;8:20;0:10;2;10;1;0;2.5;4;2;5;7;7
2021.03.11;male;21;yes;0;8:30;23:20;0;10;1;0.5;2;3;2;4;7;6
2021.03.12;male;21;yes;2;7:45;23:40;1;8;1;0;2.5;3;1.5;5;7;6
2021.03.13;male;21;no;0;9:00;23:30;1;6;1;0.6;2.5;5;2;5;7;7
2021.03.14;male;21;no;0;8:00;23:40;1;7;1;0.5;2.5;6;1;6;7;8
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
